node              msec
02:ba:da:00:01:00 1412676
02:ba:da:00:02:00 104
02:ba:da:00:03:00 567284
02:ba:da:00:04:00 295954
02:ba:da:00:05:00 1204456
02:ba:da:00:06:00 486290
02:ba:da:00:07:00 675986
02:ba:da:00:08:00 766792
02:ba:da:00:09:00 802004
02:ba:da:00:10:00 612360
02:ba:da:00:11:00 548660
02:ba:da:00:12:00 611168
02:ba:da:00:13:00 646156
02:ba:da:00:14:00 632404
02:ba:da:00:15:00 569654
02:ba:da:00:16:00 732926
02:ba:da:00:17:00 460784
02:ba:da:00:18:00 300222
02:ba:da:00:19:00 886860
02:ba:da:00:20:00 608292
02:ba:da:00:21:00 333838
02:ba:da:00:22:00 373074
02:ba:da:00:23:00 609718
02:ba:da:00:24:00 403180
02:ba:da:00:25:00 631586
02:ba:da:00:26:00 499404
02:ba:da:00:27:00 853840
02:ba:da:00:28:00 531936
02:ba:da:00:29:00 632998
02:ba:da:00:30:00 760212
#a0:36:9f:00:f6:96 1656710
